Search keyword report
"October 30, 2025 - October 30, 2025"
Keyword status,Keyword,Match type,Status,Status reasons,Final URL,Clicks,Impr.,CTR,Currency code,Cost,Quality Score,Ad relevance,Ad relevance (hist.),Landing page exp.,Landing page exp. (hist.),Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,[computer reparatie amersfoort],Exact match,Eligible,,https://hulpmetit.nl/computerhulp-aan-huis-amersfoort,0,0, --,EUR,0.00,4,Average,Average,Below average,Below average,0.00%,0.00,0,0.00
Enabled,[computerhulp leiden],Exact match,Eligible,,,0,3,0.00%,EUR,0.00,7,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[PC hulp],Exact match,Eligible,,,0,0, --,EUR,0.00,7,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
Enabled,[student aan huis Eindhoven],Exact match,Eligible,,https://hulpmetit.nl/student-aan-huis-eindhoven,0,6,0.00%,EUR,0.00,8,Above average,Above average,Average,Average,0.00%,0.00,0,0.00
 --,,Total: All but removed keywords, --,,,19,254,7.48%,EUR,10.20, --, --, --, --, --,0.00%,0.00,0.54,0.00
,,Total: Keywords in your ad group,,,,19,254,7.48%,EUR,10.20,,,,,,0.00%,0.00,0.54,0.00
,,Total: Your keywords,,,,19,254,7.48%,EUR,10.20,,,,,,0.00%,0.00,0.54,0.00
,,Total: AI Max expanded matches,,,,0,0, --,EUR,0.00,,,,,,0.00%,0.00,0,0.00
,,Total: AI Max landing page matches,,,,0,0, --,EUR,0.00,,,,,,0.00%,0.00,0,0.00
,,Total: URL inclusions in your ad group,,,,0,0, --,EUR,0.00,,,,,,0.00%,0.00,0,0.00
,,Total: Ad group,,,,19,254,7.48%,EUR,10.20,,,,,,0.00%,0.00,0.54,0.00
